"","seriesId","seriesTitle","seriesAvgRating","totalVotes","avgVotes","numSeasons","avgRuntime","seriesStartYear","seriesStartDecade","lengthYears","genres","baseGenre"
"101","tt9170108","Raised by Wolves",7.69,52719,2929,2,49.3,"2020","2020s",2,"Drama,Fantasy,Sci-Fi","Drama"
"102","tt1695360","The Legend of Korra",8.39,150109,2887,4,23.4,"2012","2010s",2,"Action,Adventure,Animation","Action"
"103","tt1474684","Luther",8.28,57270,2864,5,58.2,"2010","2010s",9,"Crime,Drama,Mystery","Crime"
"104","tt4635282","The OA",8.32,45819,2864,2,54.5,"2016","2010s",3,"Drama,Fantasy,Mystery","Drama"
"105","tt5114356","Legion",8.39,76805,2845,3,49.5,"2017","2010s",2,"Action,Drama,Sci-Fi","Action"
"106","tt3475734","Agent Carter",7.99,50860,2826,2,42.1,"2015","2010s",1,"Action,Adventure,Crime","Action"
"107","tt2930604","Star Wars: Rebels",7.92,206105,2823,4,22.5,"2014","2010s",4,"Action,Adventure,Animation","Action"
"108","tt1632701","Suits",8.35,375062,2799,9,43.9,"2011","2010s",8,"Comedy,Drama","Comedy"
"109","tt5607976","His Dark Materials",7.97,62150,2702,3,53.5,"2019","2010s",3,"Adventure,Drama,Fantasy","Adventure"
"110","tt0487831","The IT Crowd",8.1,67124,2685,5,24.7,"2006","2000s",7,"Comedy","Comedy"
"111","tt2628232","Penny Dreadful",8.31,71865,2662,3,54.2,"2014","2010s",2,"Drama,Fantasy,Horror","Drama"
"112","tt1266020","Parks and Recreation",8.06,329823,2660,7,21.9,"2009","2000s",6,"Comedy","Comedy"
"113","tt7949218","See",7.77,63153,2631,3,53.5,"2019","2010s",3,"Action,Drama,Sci-Fi","Action"
"114","tt13623148","I Am Groot",6.78,25812,2581,2,3.5,"2022","2020s",1,"Action,Adventure,Animation","Action"
"115","tt2583620","The Twilight Zone",6.09,51366,2568,2,41.5,"2019","2010s",1,"Drama,Fantasy,Horror","Drama"
"116","tt0384766","Rome",8.38,55949,2543,2,53.9,"2005","2000s",2,"Action,Drama,Romance","Action"
"117","tt4189022","Ash vs Evil Dead",8.34,75816,2527,3,29.6,"2015","2010s",3,"Action,Comedy,Horror","Action"
"118","tt0248654","Six Feet Under",8.37,156995,2492,5,54.7,"2001","2000s",4,"Comedy,Drama","Comedy"
"119","tt1119644","Fringe",8.21,244663,2447,5,47,"2008","2000s",5,"Drama,Mystery,Sci-Fi","Drama"
"120","tt1442437","Modern Family",7.73,606151,2425,11,21.3,"2009","2000s",11,"Comedy,Drama,Romance","Comedy"
"121","tt18335752","1923",8.33,36227,2415,2,60.7,"2022","2020s",3,"Drama,Western","Western"
"122","tt0979432","Boardwalk Empire",8.41,135018,2411,5,56.4,"2010","2010s",4,"Crime,Drama","Crime"
"123","tt0106145","Star Trek: Deep Space Nine",7.48,414925,2398,7,46.9,"1993","1990s",6,"Action,Adventure,Drama","Action"
"124","tt0286486","The Shield",8.18,212291,2385,7,46.9,"2002","2000s",6,"Crime,Drama,Thriller","Crime"
"125","tt0072500","Fawlty Towers",8.75,28194,2350,2,31.1,"1975","1970s",4,"Comedy","Comedy"
"126","tt12749392","Sharpe",7.62,41847,2325,7,92.9,"1993","1990s",15,"Action,Adventure,Drama","Action"
"127","tt8714904","Narcos: Mexico",8.15,69455,2315,3,58.2,"2018","2010s",3,"Crime,Drama","Crime"
"128","tt0103359","Batman: The Animated Series",7.91,195155,2296,4,22,"1992","1990s",3,"Action,Adventure,Animation","Action"
"129","tt6517102","Castlevania",8.25,72372,2262,4,25.9,"2017","2010s",4,"Action,Adventure,Animation","Action"
"130","tt0367279","Arrested Development",8.04,189203,2252,5,28.2,"2003","2000s",16,"Comedy","Comedy"
"131","tt0290978","The Office",8.31,31297,2236,3,31.7,"2001","2000s",2,"Comedy,Drama","Comedy"
"132","tt2375692","Black Sails",8.43,84133,2214,4,56.4,"2014","2010s",3,"Action,Adventure,Drama","Action"
"133","tt0118421","Oz",8.34,123800,2211,6,58.3,"1997","1990s",6,"Crime,Drama,Thriller","Crime"
"134","tt5555260","This Is Us",8.54,234020,2208,6,43.1,"2016","2010s",6,"Comedy,Drama,Romance","Comedy"
"135","tt0094525","Poirot",7.65,153636,2195,13,71.9,"1989","1980s",24,"Crime,Drama,Mystery","Crime"
"136","tt5788792","The Marvelous Mrs. Maisel",8.38,93988,2186,5,55,"2017","2010s",6,"Comedy,Drama","Comedy"
"137","tt6048596","The Sinner",7.43,69535,2173,4,44.7,"2017","2010s",4,"Crime,Drama,Mystery","Crime"
"138","tt0112178","Star Trek: Voyager",7.32,364551,2170,7,46.2,"1995","1990s",6,"Action,Adventure,Drama","Action"
"139","tt4145054","Shadowhunters",8.15,119278,2169,3,42.1,"2016","2010s",3,"Action,Drama,Fantasy","Action"
"140","tt2372162","Orange Is the New Black",8.05,196441,2159,7,58.9,"2013","2010s",6,"Comedy,Crime,Drama","Comedy"
"141","tt5421602","Anne with an E",8.72,58187,2155,3,45.6,"2017","2010s",2,"Drama,Family","Drama"
"142","tt0407362","Battlestar Galactica",8.03,158965,2148,4,49.1,"2004","2000s",5,"Action,Adventure,Drama","Action"
"143","tt5232792","Lost in Space",7.64,59945,2141,3,49.4,"2018","2010s",3,"Adventure,Drama,Family","Adventure"
"144","tt0976192","The Spectacular Spider-Man",8.74,55560,2137,2,22.5,"2008","2000s",1,"Action,Adventure,Animation","Action"
"145","tt1740299","The Man in the High Castle",7.96,84162,2104,4,54.5,"2015","2010s",4,"Drama,Sci-Fi,Thriller","Thriller"
"146","tt7520794","Russian Doll",7.53,31234,2082,2,27.6,"2019","2010s",3,"Comedy,Drama,Mystery","Comedy"
